accommodates,bedrooms,bathrooms,beds,room_type,neighbourhood,log_price
6,1.0,1.0,3.0,Entire home/apt,Alphabet City,5.298317367
2,1.0,1.0,1.0,Entire home/apt,Santa Monica,4.941642423
3,1.0,1.0,2.0,Private room,Mid-Wilshire,4.317488114
6,2.0,2.5,2.0,Entire home/apt,The Castro,5.451038454
2,1.0,1.0,1.0,Entire home/apt,Streeterville,5.293304825
8,2.0,2.0,3.0,Entire home/apt,Greenwood Heights,5.703782475
3,1.0,1.0,1.0,Private room,Upper East Side,5.010635294
1,1.0,1.0,1.0,Private room,Harlem,4.700480366
2,1.0,1.0,1.0,Private room,Mission District,4.86753445
1,1.0,1.0,1.0,Private room,Allston-Brighton,3.912023005
4,2.0,2.0,3.0,Entire home/apt,Marina Del Rey,5.517452896
4,1.0,1.0,3.0,Entire home/apt,Dupont Circle,4.8978398
2,1.0,1.0,1.0,Private room,Astoria,4.094344562
7,1.0,3.0,6.0,Shared room,North Hollywood,3.401197382
8,3.0,1.5,4.0,Entire home/apt,Williamsburg,5.298317367
6,2.0,2.0,3.0,Entire home/apt,Hollywood,4.9698133
2,1.0,1.5,1.0,Private room,Hamilton Heights,4.605170186
2,1.0,1.0,1.0,Private room,Hell's Kitchen,4.997212274
7,2.0,1.0,2.0,Entire home/apt,Del Rey,5.164785974
2,1.0,1.0,1.0,Private room,Clinton Hill,4.454347296
7,3.0,2.0,1.0,Entire home/apt,Chinatown,5.323009979
1,1.0,1.0,1.0,Private room,Hell's Kitchen,4.553876892
1,1.0,1.0,1.0,Private room,Bushwick,3.688879454
4,1.0,1.0,2.0,Entire home/apt,Westside,4.691347882
4,2.0,2.0,2.0,Entire home/apt,Back Bay,5.634789603
2,0.0,1.0,1.0,Entire home/apt,Harlem,4.905274778
4,2.0,1.5,2.0,Entire home/apt,Noe Valley,5.521460918
3,1.0,2.0,2.0,Private room,Dorchester,4.33073334
1,1.0,1.0,1.0,Private room,Bushwick,4.060443011
3,1.0,1.0,2.0,Entire home/apt,Upper East Side,4.976733742
5,2.0,1.0,3.0,Entire home/apt,Hell's Kitchen,5.940171253
2,0.0,1.0,1.0,Entire home/apt,Upper East Side,4.934473933
2,1.0,1.0,1.0,Private room,Williamsburg,4.828313737
2,1.0,2.0,2.0,Private room,Pasadena,5.187385806
1,1.0,1.0,1.0,Private room,Allston-Brighton,3.496507561
8,4.0,2.5,4.0,Entire home/apt,St. George,6.214608098
4,2.0,1.0,3.0,Entire home/apt,Valley Glen,4.691347882
4,1.0,1.5,2.0,Shared room,Bedford-Stuyvesant,3.912023005
3,1.0,1.0,2.0,Entire home/apt,Williamsburg,5.010635294
2,1.0,1.0,1.0,Private room,Mid-Wilshire,3.688879454
2,1.0,1.0,1.0,Private room,Washington Heights,4.248495242
2,1.0,1.0,1.0,Private room,North Hollywood,4.094344562
4,0.0,1.0,2.0,Entire home/apt,Santa Monica,5.010635294
2,1.0,1.0,1.0,Entire home/apt,Greenwich Village,5.087596335
6,2.0,1.0,4.0,Entire home/apt,Mid-City,4.795790546
4,0.0,1.0,2.0,Entire home/apt,Hell's Kitchen,5.220355825
6,2.0,1.0,4.0,Entire home/apt,Near West Side,5.099866428
2,0.0,1.0,1.0,Entire home/apt,Hollywood Hills,4.356708827
1,1.0,0.0,1.0,Private room,Jackson Heights,4.007333185
1,1.0,1.0,1.0,Private room,Torrance,3.496507561
4,2.0,1.0,2.0,Entire home/apt,Sylmar,4.787491743
4,1.0,1.0,2.0,Entire home/apt,Richmond District,5.075173815
5,3.0,1.0,3.0,Entire home/apt,Bridgeport,4.882801923
4,1.0,1.0,1.0,Entire home/apt,Noe Valley,5.786897381
2,1.0,1.0,1.0,Private room,Mission District,4.49980967
2,1.0,1.0,1.0,Private room,West Town/Noble Square,4.219507705
2,0.0,1.0,1.0,Entire home/apt,South Boston,5.556828062
2,1.0,1.0,1.0,Private room,Westside,4.17438727
5,2.0,1.0,2.0,Entire home/apt,Crocker Amazon,7.313220387
1,1.0,1.0,1.0,Private room,Duboce Triangle,4.941642423
4,1.0,1.0,2.0,Entire home/apt,Park Slope,5.164785974
4,1.0,1.0,2.0,Entire home/apt,Mid-Wilshire,4.605170186
8,4.0,2.0,4.0,Entire home/apt,American University Park,5.857933154
1,1.0,1.0,1.0,Entire home/apt,North Hollywood,4.605170186
2,1.0,1.0,1.0,Entire home/apt,Upper East Side,4.94875989
3,2.0,1.0,3.0,Entire home/apt,East Village,4.941642423
2,1.0,1.0,1.0,Private room,Roosevelt Island,4.343805422
2,1.0,1.0,1.0,Private room,Rancho Palos Verdes,4.369447852
2,1.0,1.0,1.0,Private room,Hollywood,4.564348191
2,1.0,1.0,1.0,Private room,Bedford-Stuyvesant,4.248495242
5,2.0,1.0,4.0,Entire home/apt,Chinatown,5.236441963
1,1.0,1.0,1.0,Private room,Bedford-Stuyvesant,5.272999559
1,1.0,1.0,1.0,Private room,Harlem,4.394449155
2,1.0,1.0,1.0,Private room,Lower Haight,4.382026635
4,1.0,1.0,2.0,Private room,Edgewater,4.007333185
5,2.0,2.0,3.0,Entire home/apt,Glover Park,5.926926026
3,1.0,1.0,1.0,Entire home/apt,Midtown,4.934473933
2,1.0,1.5,1.0,Private room,Bedford-Stuyvesant,5.068904202
2,1.0,1.5,1.0,Private room,Mission District,5.010635294
2,2.0,1.0,2.0,Entire home/apt,Mission District,5.241747015
2,1.0,1.0,1.0,Private room,Bushwick,4.17438727
2,1.0,1.0,1.0,Private room,Clinton Hill,4.787491743
2,1.0,1.0,1.0,Private room,Hollywood Hills,4.077537444
2,1.0,1.0,1.0,Entire home/apt,Chinatown,5.298317367
2,1.0,1.0,1.0,Private room,Hell's Kitchen,3.891820298
2,1.0,1.0,1.0,Entire home/apt,Lower East Side,4.605170186
5,3.0,2.0,4.0,Entire home/apt,Allston-Brighton,4.787491743
2,1.0,1.0,1.0,Private room,Hell's Kitchen,5.010635294
1,1.0,1.0,1.0,Private room,Mission District,5.298317367
4,2.0,1.0,2.0,Entire home/apt,Williamsburg,5.298317367
4,1.0,1.0,2.0,Entire home/apt,Lefferts Garden,4.605170186
3,0.0,1.0,1.0,Entire home/apt,Upper West Side,4.86753445
2,1.0,1.0,1.0,Private room,Ditmars / Steinway,4.382026635
4,2.0,1.0,3.0,Entire home/apt,Woodland Hills/Warner Center,5.010635294
4,1.0,1.0,3.0,Entire home/apt,Westside,5.075173815
1,1.0,1.0,1.0,Private room,Harlem,3.555348061
6,2.0,1.0,3.0,Entire home/apt,Upper West Side,5.991464547
4,1.0,1.0,1.0,Entire home/apt,Williamsburg,5.247024072
2,1.0,2.0,2.0,Shared room,Kips Bay,3.891820298
2,0.0,1.0,1.0,Entire home/apt,East Hollywood,4.59511985
4,2.0,1.0,2.0,Entire home/apt,Sherman Oaks,4.787491743
6,3.0,2.5,4.0,Entire home/apt,Mission District,5.38907173
1,1.0,0.5,1.0,Private room,Roosevelt Island,4.094344562
3,0.0,1.0,2.0,Entire home/apt,Williamsburg,4.605170186
2,1.0,1.0,1.0,Entire home/apt,Harlem,5.105945474
2,1.0,1.0,1.0,Entire home/apt,Clinton Hill,4.248495242
2,0.0,1.0,1.0,Entire home/apt,Outer Sunset,4.86753445
2,1.0,1.0,1.0,Private room,East Village,4.317488114
3,0.0,1.0,2.0,Entire home/apt,Upper West Side,4.605170186
2,0.0,1.0,1.0,Entire home/apt,Bedford-Stuyvesant,5.010635294
2,0.0,1.0,1.0,Entire home/apt,Alphabet City,4.941642423
4,1.0,1.0,2.0,Private room,Astoria,3.80666249
3,1.0,1.0,1.0,Entire home/apt,Cobble Hill,4.934473933
3,1.0,1.0,1.0,Entire home/apt,East Village,5.010635294
3,1.0,2.0,3.0,Private room,Roxbury,5.010635294
4,2.0,1.0,2.0,Entire home/apt,Silver Lake,5.272999559
2,1.0,1.0,1.0,Private room,Lawndale,3.828641396
5,2.0,1.0,2.0,Entire home/apt,Wicker Park,5.298317367
2,1.0,1.0,1.0,Private room,Upper East Side,4.65396035
2,1.0,1.0,1.0,Private room,Nolita,4.744932128
3,0.0,1.0,2.0,Entire home/apt,Hollywood,4.804021045
2,0.0,1.0,1.0,Entire home/apt,Southwest Waterfront,4.59511985
2,0.0,1.0,1.0,Entire home/apt,Reseda,4.700480366
16,1.0,4.0,16.0,Shared room,Venice,3.912023005
4,2.0,2.0,2.0,Entire home/apt,Hayes Valley,6.802394763
4,2.0,1.0,3.0,Entire home/apt,Manhattan Beach,5.416100402
3,0.0,1.0,3.0,Entire home/apt,Manhattan Beach,4.86753445
4,1.0,1.0,1.0,Private room,Washington Heights,4.234106505
7,2.0,2.0,5.0,Entire home/apt,Hollywood,5.187385806
2,1.0,2.0,1.0,Private room,Williamsburg,4.605170186
5,2.0,1.0,4.0,Entire home/apt,Hell's Kitchen,5.247024072
6,2.0,1.0,2.0,Entire home/apt,Downtown Crossing,5.669880923
2,1.0,1.0,1.0,Private room,Upper East Side,5.003946306
6,2.0,1.0,2.0,Entire home/apt,Haight-Ashbury,5.855071922
2,1.0,1.0,2.0,Private room,Crown Heights,4.553876892
6,2.0,1.0,2.0,Entire home/apt,Williamsburg,5.068904202
2,1.0,1.0,2.0,Entire home/apt,Soho,5.298317367
10,2.0,2.0,2.0,Entire home/apt,Alphabet City,5.703782475
2,1.0,1.0,1.0,Entire home/apt,Lower East Side,4.976733742
4,0.0,1.0,2.0,Entire home/apt,Silver Lake,4.787491743
2,1.0,1.0,1.0,Private room,Bayview,4.605170186
1,0.0,1.0,1.0,Entire home/apt,South LA,3.80666249
4,1.0,1.0,2.0,Entire home/apt,Greenwich Village,5.298317367
4,1.0,1.5,2.0,Private room,Petworth,4.934473933
3,2.0,2.0,2.0,Entire home/apt,Alphabet City,5.926926026
1,1.0,1.0,1.0,Private room,Bushwick,3.912023005
2,1.0,1.0,1.0,Entire home/apt,West Hollywood,4.787491743
2,1.0,1.0,2.0,Shared room,Belmont Cragin,3.555348061
2,1.0,1.0,1.0,Private room,Bedford-Stuyvesant,4.007333185
2,0.0,1.0,1.0,Entire home/apt,East Village,4.787491743
2,2.0,1.0,2.0,Entire home/apt,Presidio Heights,6.214608098
4,0.0,1.0,2.0,Entire home/apt,Westlake,4.605170186
7,4.0,1.0,7.0,Entire home/apt,Park Slope,5.298317367
7,4.0,3.0,4.0,Entire home/apt,Irving Park,5.187385806
2,1.0,1.0,1.0,Private room,Bedford-Stuyvesant,4.442651256
1,1.0,1.0,1.0,Private room,Park Slope,4.248495242
1,1.0,1.0,1.0,Shared room,Hamilton Heights,3.688879454
2,1.0,1.0,1.0,Private room,Kips Bay,4.605170186
1,1.0,1.0,1.0,Private room,Pilsen,3.555348061
2,1.0,1.0,1.0,Entire home/apt,Soho,5.247024072
4,1.0,1.0,1.0,Entire home/apt,Manhattan Beach,5.517452896
2,1.0,1.0,1.0,Private room,Upper West Side,4.691347882
6,1.0,2.5,6.0,Shared room,South LA,3.218875825
2,1.0,1.0,1.0,Entire home/apt,Greenpoint,4.744932128
2,1.0,1.5,1.0,Entire home/apt,Capitol Hill,4.86753445
2,1.0,1.0,1.0,Private room,Valley Glen,3.80666249
2,0.0,1.0,1.0,Entire home/apt,Venice,4.787491743
2,1.0,1.0,1.0,Private room,Crotona,3.912023005
2,1.0,1.0,1.0,Entire home/apt,Bedford-Stuyvesant,5.010635294
4,1.0,1.0,2.0,Private room,SoMa,5.241747015
1,1.0,1.0,1.0,Private room,Greenpoint,4.477336814
2,1.0,1.5,1.0,Private room,Bushwick,3.713572067
3,1.0,1.0,1.0,Private room,Encino,4.442651256
4,2.0,1.0,2.0,Entire home/apt,Williamsburg,5.220355825
2,1.0,1.0,1.0,Shared room,Long Beach,3.80666249
3,0.0,1.0,1.0,Entire home/apt,Venice,4.59511985
2,1.0,1.5,1.0,Private room,Bedford-Stuyvesant,4.094344562
1,1.0,1.0,1.0,Private room,Elysian Valley,4.49980967
6,3.0,2.0,3.0,Entire home/apt,Alphabet City,5.978885765
2,1.0,1.0,1.0,Entire home/apt,Echo Park,4.605170186
4,2.0,1.0,5.0,Entire home/apt,Upper West Side,5.298317367
3,1.0,1.0,1.0,Private room,Shaw,4.094344562
2,0.0,1.5,1.0,Entire home/apt,Mission District,5.521460918
1,1.0,1.0,1.0,Private room,Marina,5.298317367
2,1.0,1.0,1.0,Shared room,Logan Square,3.688879454
4,1.0,1.0,1.0,Entire home/apt,Hollywood,4.59511985
1,1.0,1.0,1.0,Private room,Harlem,4.317488114
2,1.0,3.0,1.0,Private room,Chelsea,4.49980967
2,1.0,1.0,1.0,Entire home/apt,Upper East Side,4.905274778
2,1.0,2.0,1.0,Entire home/apt,Williamsburg,5.703782475
6,3.0,2.5,4.0,Entire home/apt,Benning,5.703782475
2,0.0,1.0,1.0,Entire home/apt,Westwood,4.532599493
8,4.0,3.0,4.0,Entire home/apt,Woodland Hills/Warner Center,5.826000107
3,2.0,1.0,2.0,Entire home/apt,Boyle Heights,5.075173815
2,1.0,1.0,1.0,Entire home/apt,Williamsburg,4.605170186
2,0.0,1.0,1.0,Entire home/apt,Crown Heights,4.49980967
2,1.0,1.5,1.0,Private room,Westchester/Playa Del Rey,4.406719247
6,2.0,1.0,2.0,Entire home/apt,Petworth,5.010635294
2,1.0,1.0,1.0,Private room,Hollywood Hills,5.703782475
8,3.0,1.5,6.0,Entire home/apt,Excelsior,5.857933154
2,1.0,1.0,1.0,Private room,Outer Sunset,4.86753445
3,1.0,1.0,1.0,Entire home/apt,Soho,5.416100402
3,0.0,1.0,1.0,Entire home/apt,Fenway/Kenmore,5.129898715
4,2.0,1.0,2.0,Entire home/apt,Mission District,5.192956851
3,1.0,1.0,1.0,Entire home/apt,Upper West Side,4.828313737
2,1.0,1.5,1.0,Private room,16th Street Heights,3.688879454
6,2.0,2.0,2.0,Entire home/apt,Financial District,5.991464547
2,1.0,1.0,1.0,Entire home/apt,Park Slope,4.584967479
1,1.0,2.0,1.0,Private room,Alphabet City,4.094344562
2,1.0,1.0,1.0,Private room,Venice,4.859812404
2,1.0,2.0,1.0,Private room,Parkside,4.48863637
4,2.0,1.0,2.0,Entire home/apt,Mid-Wilshire,5.616771098
2,1.0,2.0,1.0,Private room,Bushwick,3.891820298
2,1.0,1.0,1.0,Private room,Bedford-Stuyvesant,4.17438727
3,1.0,1.0,2.0,Private room,Ozone Park,3.891820298
6,3.0,1.0,3.0,Entire home/apt,Laurel Canyon,6.109247583
2,0.0,1.0,1.0,Entire home/apt,Hollywood,4.905274778
2,1.0,1.0,1.0,Entire home/apt,Japantown,4.59511985
2,1.0,1.0,2.0,Private room,Bel Air/Beverly Crest,5.075173815
2,1.0,1.0,1.0,Entire home/apt,Park Slope,5.579729826
4,2.0,1.5,2.0,Entire home/apt,Capitol Hill,5.075173815
3,2.0,1.0,2.0,Entire home/apt,Harlem,5.075173815
5,3.0,2.5,3.0,Entire home/apt,Graniteville,5.703782475
3,1.0,1.0,1.0,Entire home/apt,Hollywood,4.59511985
3,1.0,1.0,1.0,Private room,Dorchester,4.564348191
3,1.0,1.0,2.0,Entire home/apt,Fort Greene,5.153291594
3,1.0,1.0,1.0,Private room,Corona,4.060443011
3,1.0,1.0,1.0,Entire home/apt,Tarzana,4.48863637
4,1.0,1.0,2.0,Entire home/apt,Murray Hill,5.298317367
1,1.0,1.5,1.0,Private room,Lower East Side,4.17438727
1,1.0,1.0,1.0,Private room,Bushwick,4.007333185
2,0.0,1.0,1.0,Entire home/apt,Downtown,5.043425117
1,1.0,2.0,1.0,Private room,East Elmhurst,3.80666249
7,3.0,2.0,4.0,Entire home/apt,Mid-Wilshire,5.272999559
2,1.0,1.0,1.0,Private room,Noe Valley,5.220355825
2,1.0,2.0,1.0,Private room,Dorchester,3.828641396
7,2.0,1.0,3.0,Entire home/apt,Washington Heights,5.293304825
2,1.0,1.5,1.0,Private room,Mid-Wilshire,4.290459441
6,2.0,2.0,4.0,Entire home/apt,Westlake,4.86753445
3,1.0,1.0,2.0,Entire home/apt,Upper East Side,5.272999559
3,2.0,2.0,1.0,Entire home/apt,Mount Vernon Square,4.905274778
2,0.0,1.0,1.0,Entire home/apt,Kips Bay,5.075173815
6,1.0,1.0,1.0,Entire home/apt,North Hollywood,4.369447852
2,1.0,1.0,2.0,Private room,South LA,4.65396035
2,1.0,1.0,1.0,Private room,Harlem,4.248495242
5,2.0,1.0,2.0,Entire home/apt,Upper West Side,5.38907173
4,1.0,1.0,1.0,Entire home/apt,Upper East Side,5.298317367
4,1.0,1.0,1.0,Entire home/apt,SoMa,6.396929655
2,0.0,1.0,1.0,Entire home/apt,Marina Del Rey,4.59511985
2,1.0,1.0,1.0,Private room,Western Addition/NOPA,4.859812404
2,1.0,1.0,1.0,Entire home/apt,East Village,6.476972363
2,1.0,1.0,1.0,Entire home/apt,Los Feliz,4.317488114
4,1.0,1.0,2.0,Entire home/apt,Civic Center,5.298317367
6,2.0,2.0,3.0,Entire home/apt,Hollywood,4.934473933
2,1.0,1.0,1.0,Private room,Pasadena,6.214608098
2,1.0,1.0,1.0,Private room,Skid Row,4.317488114
1,1.0,1.0,1.0,Private room,Gowanus,3.761200116
4,0.0,1.0,1.0,Entire home/apt,East Village,5.198497031
8,3.0,2.0,3.0,Entire home/apt,Capitol Hill,6.745236349
4,1.0,1.0,2.0,Entire home/apt,Hell's Kitchen,5.521460918
2,1.0,1.5,1.0,Private room,Lower Haight,4.382026635
2,1.0,1.0,2.0,Entire home/apt,Chelsea,5.433722004
7,2.0,2.0,3.0,Entire home/apt,U Street Corridor,5.783825182
2,1.0,1.0,2.0,Entire home/apt,Greenwich Village,5.247024072
2,1.0,1.0,1.0,Private room,Williamsburg,4.828313737
2,1.0,1.0,1.0,Entire home/apt,Upper West Side,5.298317367
2,1.0,1.0,1.0,Private room,Mid-Wilshire,3.912023005
4,1.0,1.0,2.0,Entire home/apt,Crown Heights,4.700480366
2,1.0,1.5,1.0,Private room,Capitol Hill,5.669880923
6,3.0,2.0,3.0,Entire home/apt,Torrance,5.293304825
2,1.0,1.0,1.0,Private room,Fort Greene,5.298317367
2,1.0,1.0,1.0,Private room,Lefferts Garden,4.317488114
2,0.0,1.0,1.0,Entire home/apt,Richmond District,5.323009979
1,1.0,1.0,1.0,Private room,Lower East Side,5.010635294
1,1.0,1.0,1.0,Private room,Bushwick,3.555348061
2,1.0,1.0,1.0,Entire home/apt,Bedford-Stuyvesant,4.521788577
2,0.0,1.0,1.0,Entire home/apt,Fort Greene,4.700480366
2,1.0,1.0,1.0,Private room,The Rockaways,4.094344562
2,1.0,1.0,1.0,Private room,Alphabet City,4.553876892
2,1.0,1.0,1.0,Entire home/apt,Venice,5.164785974
8,3.0,3.0,4.0,Entire home/apt,Bel Air/Beverly Crest,6.684611728
5,0.0,1.0,3.0,Entire home/apt,Encino,4.820281566
2,1.0,1.0,1.0,Private room,Bedford-Stuyvesant,4.382026635
4,2.0,1.0,2.0,Entire home/apt,Bedford-Stuyvesant,5.043425117
4,2.0,1.0,2.0,Entire home/apt,Downtown,6.684611728
2,0.0,1.0,1.0,Entire home/apt,Chelsea,5.164785974
2,1.0,2.0,1.0,Private room,Tribeca,4.317488114
2,1.0,1.0,1.0,Private room,Capitol Hill,4.744932128
8,3.0,1.0,4.0,Entire home/apt,Downtown,5.634789603
2,0.0,1.0,1.0,Entire home/apt,Harlem,4.17438727
4,1.0,1.0,3.0,Entire home/apt,Mid-Wilshire,4.442651256
3,0.0,1.0,1.0,Entire home/apt,Lakeview,4.941642423
3,1.0,1.0,2.0,Entire home/apt,Crown Heights,4.605170186
2,1.0,1.5,2.0,Private room,Trinidad,3.688879454
6,2.0,2.5,3.0,Entire home/apt,Capitol Hill,5.501258211
3,1.0,2.0,2.0,Private room,Westchester/Playa Del Rey,3.688879454
2,1.0,1.0,1.0,Private room,The Rockaways,4.477336814
4,2.0,1.0,2.0,Entire home/apt,Lower East Side,5.18178355
4,2.0,2.0,3.0,Entire home/apt,Mission Hill,5.075173815
2,1.0,1.0,1.0,Entire home/apt,Soho,5.298317367
2,1.0,1.0,1.0,Private room,Greenwood Heights,3.912023005
2,1.0,1.0,1.0,Private room,Bushwick,3.688879454
4,1.0,1.0,1.0,Entire home/apt,Back Bay,5.517452896
2,1.0,1.0,1.0,Private room,Bushwick,4.094344562
2,1.0,1.0,1.0,Entire home/apt,Cleveland Park,4.844187086
1,1.0,1.0,1.0,Private room,Silver Lake,3.688879454
2,1.0,1.0,1.0,Private room,Williamsburg,4.48863637
2,1.0,1.5,2.0,Shared room,Clinton Hill,3.912023005
4,0.0,1.0,2.0,Entire home/apt,Upper East Side,5.298317367
4,2.0,1.0,2.0,Entire home/apt,Mid-Wilshire,4.49980967
10,3.0,2.0,5.0,Entire home/apt,Mid-Wilshire,5.135798437
2,1.0,1.0,1.0,Private room,Noe Valley,5.703782475
2,1.0,1.0,1.0,Private room,Harlem,4.369447852
6,2.0,1.0,3.0,Entire home/apt,U Street Corridor,5.416100402
2,1.0,1.0,1.0,Private room,Hell's Kitchen,5.298317367
2,1.0,1.0,1.0,Private room,Bushwick,3.850147602
2,1.0,1.0,1.0,Entire home/apt,Washington Heights,4.828313737
2,0.0,1.0,1.0,Entire home/apt,Mid-Wilshire,4.17438727
4,2.0,1.0,2.0,Entire home/apt,East Harlem,4.248495242
2,1.0,1.0,1.0,Private room,Flatbush,4.043051268
2,1.0,1.0,1.0,Entire home/apt,Williamsburg,5.164785974
3,1.0,1.0,1.0,Entire home/apt,Kips Bay,5.135798437
2,1.0,1.0,1.0,Entire home/apt,Williamsburg,4.744932128
2,0.0,1.0,2.0,Entire home/apt,Friendship Heights,4.605170186
4,2.0,1.0,2.0,Entire home/apt,Hayes Valley,2.302585093
2,1.0,1.0,1.0,Entire home/apt,Sunland/Tujunga,4.219507705
4,2.0,2.0,2.0,Entire home/apt,West Loop/Greektown,4.700480366
5,2.0,2.0,2.0,Entire home/apt,Toluca Lake,5.438079309
2,1.0,1.0,1.0,Private room,Harlem,4.317488114
2,0.0,1.0,1.0,Private room,South Boston,5.010635294
2,1.0,1.0,1.0,Private room,Mission District,4.442651256
2,1.0,1.0,1.0,Private room,Greenpoint,4.454347296
1,1.0,2.0,1.0,Private room,Upper West Side,3.63758616
3,1.0,1.0,2.0,Entire home/apt,16th Street Heights,4.553876892
2,1.0,1.0,1.0,Private room,Williamsburg,4.094344562
1,1.0,1.0,1.0,Private room,Woodland Hills/Warner Center,4.094344562
6,2.0,2.0,3.0,Entire home/apt,Logan Circle,5.918893854
2,1.0,1.0,2.0,Entire home/apt,Highland Park,4.442651256
6,0.0,2.0,2.0,Entire home/apt,Williamsburg,5.438079309
2,1.0,1.0,1.0,Private room,Capitol Hill,4.795790546
4,3.0,2.0,2.0,Entire home/apt,El Sereno,5.231108617
7,4.0,2.0,4.0,Entire home/apt,Maspeth,5.298317367
